variant,n_classes,nabirds_macro_f1,nabirds_accuracy,nabirds_kappa,nabirds_balanced_acc,nabirds_n_eval,deploy_macro_f1,deploy_accuracy,deploy_kappa,deploy_balanced_acc,deploy_n_eval,deploy_f1_AMCR,deploy_f1_HOFI,deploy_f1_SOSP,deploy_f1_CALT,deploy_f1_NONE,deploy_f1_UNKNOWN
v0,19,0.9305192773432625,0.9300595238095238,0.9250795247256071,0.928084767785081,672,0.13093609536837988,0.059782608695652176,0.04640364279080911,0.24979423868312756,184,0.8235294117647058,0.09302325581395349,0.0,,,
v1,19,0.925828462203674,0.9285714285714286,0.9235139569955706,0.9253190574660575,672,0.7763067483475113,0.7282608695652174,0.5046306267499461,0.7522633744855968,184,0.8888888888888888,0.7191011235955056,0.7209302325581395,,,
v2,20,0.9209507744902455,0.9255952380952381,0.9203351613568629,0.922307090605143,672,0.7363883847549908,0.7086614173228346,0.5823575158315744,0.7430491551459293,254,0.8421052631578947,0.6666666666666666,0.6666666666666666,0.7701149425287356,,
v3,22,0.8632514954382753,0.9166666666666666,0.9107768615419632,0.9080029348256233,672,0.5192046585207866,0.5856697819314641,0.4215648085736253,0.5510505678284693,642,0.8421052631578947,0.5957446808510638,0.313953488372093,0.45390070921985815,0.7666666666666667,0.14285714285714285
